task,inf,scalar,vector,hybrid,vec_ratio,hyb_ratio
p1,1,2524709,2524744,2524741,1.00,1.00
p1,2,2524943,2525422,2524977,1.00,1.00
p2,1,62203394,39851328,65903878,1.56,0.94
p2,2,8989469,5316528,15688621,1.69,0.57
p3,1,116519949,75488673,117222699,1.54,0.99
p3,2,4877334,4877404,11215207,1.00,0.43
p4,1,173015759,110082830,169474604,1.57,1.02
p4,2,1308350,1308405,1308816,1.00,1.00
p5,1,358700749,179134026,238525805,2.00,1.50
p5,2,120144273,26044025,3378511,4.61,35.56
p6,1,424256589,222618150,304675078,1.91,1.39
p6,2,17351074,8555724,8555365,2.03,2.03
p7,1,590783479,280844882,362901808,2.10,1.63
p7,2,138352583,38865883,21579395,3.56,6.41
p8,1,638885814,312027003,411370107,2.05,1.55
p8,2,25081897,12353146,12352792,2.03,2.03
p9,1,798014122,367167386,466510942,2.17,1.71
p9,2,125386890,44528628,12593075,2.82,9.96
