task,scalar,v64,v128,v256,v64_speedup,v128_speedup,v256_speedup
p1,15619682,7682260,5414091,4840653,2.03,2.89,3.23
p2,43423794,31697689,29532953,28919558,1.37,1.47,1.50
p3,50925687,34663099,32049851,31421103,1.47,1.59,1.62
p4,211673956,130001662,100226814,84104851,1.63,2.11,2.52
p5,14191997,10161832,9289640,9127336,1.40,1.53,1.55
p6,16333170,10899046,9916262,9750869,1.50,1.65,1.68
p7,17480101,11636394,10543018,10374570,1.50,1.66,1.68
p8,162913693,95789559,69595511,56981033,1.70,2.34,2.86
p9,4994726,3298614,2967030,2922101,1.51,1.68,1.71
p10,5292702,3476852,3120628,3076465,1.52,1.70,1.72
p11,5590686,3668781,3281133,3234284,1.52,1.70,1.73
p12,5888670,3845501,3433981,3388285,1.53,1.71,1.74
p13,6186654,4029821,3590653,3544185,1.54,1.72,1.75
p14,6484638,4214141,3747325,3700092,1.54,1.73,1.75
p15,6782622,4409103,3909327,3858639,1.54,1.73,1.76
p16,155618413,83683459,59023363,46930913,1.86,2.64,3.32
p17,1850602,1201101,1063661,1051245,1.54,1.74,1.76
p18,1926022,1248113,1103752,1091178,1.54,1.74,1.77
p19,54002201,28569325,20132467,15976896,1.89,2.68,3.38
p20,79277,46275,44425,42103,1.71,1.78,1.88
